customer_state,total_orders,average_delivery_days,average_delay_days,delivered_orders,cancelled_orders,delay_percentage
SP,40489,8.30,-11.08,40488,1,4.49
MG,11352,11.54,-13.24,11351,1,4.58
ES,1995,15.33,-10.50,1995,0,10.73
RJ,12351,14.85,-11.77,12348,3,12.10
RS,5342,14.82,-13.91,5342,0,6.08
BA,3256,18.87,-10.79,3256,0,12.16
CE,1278,20.82,-10.80,1278,0,13.77
PR,4923,11.53,-13.31,4923,0,4.04
MS,701,15.19,-11.05,701,0,9.70
PB,517,19.95,-13.26,517,0,10.44
SC,3547,14.48,-11.51,3546,1,8.20
MT,886,17.59,-14.36,886,0,5.98
PA,946,23.32,-14.07,946,0,11.21
RN,474,18.82,-13.65,474,0,9.28
PI,476,18.99,-11.31,476,0,13.87
DF,2080,12.51,-12.05,2080,0,5.67
GO,1957,15.15,-12.19,1957,0,6.54
PE,1593,17.97,-13.29,1593,0,9.60
RO,243,18.91,-20.10,243,0,2.88
MA,716,21.13,-9.55,716,0,17.46
SE,335,21.03,-10.02,335,0,15.22
AM,145,25.99,-19.57,145,0,2.76
AL,397,24.04,-8.71,397,0,21.41
TO,274,17.23,-12.13,274,0,9.85
AC,80,20.64,-20.73,80,0,3.75
AP,67,26.73,-19.69,67,0,2.99
RR,41,28.98,-17.29,41,0,12.20
